title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Cary Farelli	Cary Farelli	Pembroke, Ontario, Canada	1980	1992	173rd overall	1977	Montreal Canadiens		Italy		Italian		
Norbert Gasser	Norbert Gasser	Bolzano, Italy									Italian		
Grant Goegan	Grant Goegan	Victoria, British Columbia, Canada									Italian		
Adolf Insam	Adolf Insam	Sëlva, Italy									Italian		
Fabrizio Kasslatter	Fabrizio Kasslatter	, Brixen									Italian		
Erwin Kostner	Erwin Kostner	, Brixen	1975	1996					Italy		Italian		
Michael Mair (ice hockey)	Michael Mair	Bolzano, Italy									Italian		
Mike Mastrullo	Mike Mastrullo	Lowell, Massachusetts, United States									Italian		
Gino Pasqualotto	Gino Pasqualotto	Bolzano, Italy											
Martin Pavlu	Martin Pavlu	Plzeň, Czechoslovakia	1978	2004					ITA		Czechoslovak		
Constant Priondolo	Constant Priondolo	Montreal, Canada									Italian		
Norbert Prünster	Norbert Prünster	Merano, Italy									Italian		
Adriano Tancon	Adriano Tancon	Canale d'Agordo, Italy									Italian		
Michael Betz	Michael Betz	Landshut, West Germany	1980	1990	Undrafted				GER		German		
Andreas Niederberger	Andreas Niederberger	Munich, West Germany									German		
Helmut Steiger	Helmut Steiger	Landshut, West Germany									German		
Harri Laurila	Harri Laurila	Tampere, Finland	1982	2002	182nd overall	1983	Boston Bruins				Finnish		
Timo Peltomaa	Timo Peltomaa	Toijala, Finland	1987	2005	154th overall	1988	Los Angeles Kings		Finland		Finnish		
Timo Saarikoski	Timo Saarikoski	Kiukainen, Finland									Finnish		
Michaël Babin	Michaël Babin	Caen, France									French		
Stéphane Barin	Stéphane Barin	Saint-Martin-d'Hères, France									French		
Patrick Dunn (ice hockey)	Patrick Dunn	Trois-Rivières, Canada									French		
Gérald Guennelon	Gérald Guennelon	Chamonix, France									French		
Pascal Margerit	Pascal Margerit	Thonon-les-Bains, France	1988	2008	Undrafted						French		
Serge Poudrier	Serge Poudrier	Thetford Mines, Canada									Canadian		
Bruno Saunier	Bruno Saunier	, Hautes-Alpes									French		
Andreas Brockmann	Andreas Brockmann	Bad Tölz, West Germany									German		
Rick Amann	Rick Amann	MacGregor, Manitoba, Canada									German		
Thomas Brandl	Thomas Brandl	Bad Tölz, West Germany									German		
Raimund Hilger	Raimund Hilger	, Rosenheim									German		
Axel Kammerer	Axel Kammerer	Bad Tölz, West Germany									German		
Ernst Köpf (ice hockey, born 1968)	Ernst Köpf Jr.	Augsburg, West Germany	1985	1999					GER		German		
Jörg Mayr	Jörg Mayr	Füssen, West Germany									German		
Jürgen Rumrich	Jürgen Rumrich	Miesbach, West Germany									German		
Michael Rumrich	Michael Rumrich	Markt Indersdorf, West Germany									German		
Mike Schmidt (ice hockey)	Mike Schmidt	Palmerston, Ontario, Canada									German		
Yves Crettenand	Yves Crettenand	Chamonix, France									French		
Arnaud Briand	Arnaud Briand	Sydney, Nova Scotia, Canada									Canadian		
Georg Comploi	Georg Comploi	, Brixen									Italian		
Anthony Circelli	Anthony Circelli	Toronto, Canada									Italian		
Mike DeAngelis (ice hockey)	Michael DeAngelis	Kamloops, Canada	1984	2002					Italy		Canadian		
David Delfino	David Delfino	Somerville, Massachusetts, United States									Italian		
Joe Foglietta	Joe Foglietta	Montreal, Canada									Italian		
Robert Ginnetti	Robert Anthony Ginnetti	Vancouver, Canada	1985	1999	Undrafted				ITA		Canadian		
Emilio Iovio	Emilio Iovio	Hamilton, Ontario, Canada									Italian		
Giovanni Marchetti (ice hockey)	Giovanni Marchetti	Cavalese, Italy									Italian		
Santino Pellegrino	Santino Pellegrino	Montreal, Canada									Italian		
Marco Scapinello	Marco Scapinello	Cortina d'Ampezzo, Italy									Italian		
Martino Soracreppa	Martino Soracreppa	Bolzano, Italy									Italian		
John Vecchiarelli	John Vecchiarelli	Toronto, Canada									Italian		
Ivano Zanatta	Ivano Zanatta	Toronto, Canada									Italian		
Lars Edström (ice hockey)	Lars Edström	Glommersträsk, Sweden									Swedish		
Peter Ottosson	Peter Ottosson	Mariestad, Sweden									Swedish		
Dave Tretowicz	Dave Tretowicz	, Massachusetts	1987	1994	231st overall	1988	Calgary Flames				American		
Rob Doyle (ice hockey)	Rob Doyle	Lindsay, Ontario, Canada	1987	2006	[[1986 NHL Supplemental Draft]]		Detroit Red Wings		Austria		Canadian		
Michael Güntner	Michael Güntner	Kapfenberg, Austria									Austrian		
Karl Heinzle	Karl Heinzle	, Vorarlberg									Austrian		
Herbert Hohenberger	Herbert Hohenberger	Villach, Austria	1984	2011	Undrafted				AUT		Austrian		
Martin Krainz	Martin Krainz	Klagenfurt, Austria									Austrian		
Wolfgang Kromp	Wolfgang Kromp	Villach, Austria									Austrian		
Günther Lanzinger	Günther Lanzinger	Villach, Austria									Austrian		
Engelbert Linder	Engelbert Linder	Villach, Austria									Austrian		
Michael Puschacher	Michael Puschacher	Klagenfurt, Austria									Austrian		
Andreas Pusnik	Andreas Pusnik	Klagenfurt, Austria									Austrian		
Gerald Ressmann	Gerald Ressmann	Villach, Austria									Austrian		
Uli Egen	Uli Egen	Füssen, West Germany									German		
Hermann Hinterstocker	Hermann Hinterstocker	, Upper Bavaria									German		
Ernst Höfner (ice hockey)	Ernst Höfner	Augsburg, West Germany									German		
Horst-Peter Kretschmer	Horst-Peter Kretschmer	Bad Tölz, West Germany											
Harald Krüll	Harald Krüll	Willich, West Germany									German		
Marcus Kuhl	Marcus Kuhl	Mannheim, West Germany									German		
Holger Meitinger	Holger Meitinger	Augsburg, West Germany									German		
Joachim Reil	Joachim Reil	Garmisch-Partenkirchen, West Germany	1974	1996	Undrafted				West Germany				
Peter Scharf	Peter Scharf	Bad Tölz, West Germany									German		
Sigmund Suttner	Sigmund Suttner	Bad Tölz, West Germany									German		
Vladimír Vacátko	Vladimír Vacátko	Liberec, Czechoslovakia											
Fritz Ganster	Fritz Ganster	Zeltweg, Austria									Austrian		
Thomas Cijan	Thomas Cijan	Klagenfurt, Austria									Austrian		
Konrad Dorn	Konrad Dorn	, Vorarlberg									Austrian		
Johann Fritz (ice hockey)	Johann Fritz	Klagenfurt, Austria									Austrian		
Kelly Greenbank	Kelly Greenbank	, Saskatchewan	1975	1992	34th overall	1975	Montreal Canadiens		AUT		Canadian		
Kurt Harand	Kurt Harand	Vienna, Austria									Austrian		
Bernard Hutz	Bernard Hutz	Kitchener, Ontario, Canada									Austrian		
Helmut Koren	Helmut Koren	Klagenfurt, Austria									Austrian		
Edward Lebler	Edward Lebler	Vanderhoof, British Columbia, Canada	1981	1993					AUT		Austrian		
Giuseppe Mion	Giuseppe Mion	Villach, Austria									Austrian		
Helmut Petrik	Helmut Petrik	Villach, Austria									Austrian		
Martin Platzer	Martin Platzer	Villach, Austria									Austrian		
Peter Raffl	Peter Raffl	Villach, Austria	1977	1998					AUT				
Michael Rudman (ice hockey)	Michael Rudman	Graz, Austria									Austrian		
Kuno Sekulic	Kuno Sekulic	Villach, Austria									Austrian		
Leopold Sivec	Leopold Sivec	Villach, Austria									Austrian		
Darcy Robinson	Darcy Robinson	Kamloops, Canada	2001	2007	233rd overall	1999	Pittsburgh Penguins						
Artyom Argokov	Artyom Vladimirovich Argokov										2007 World Ice Hockey Championships		
Kirill Zinovyev	Kirill Zinovyev										url=https://sports.yahoo.com/olympics/torino2006/kaz/Kirill+Zinovyev/607398 |title=Kirill Zinovyev |work=2006 Winter Olympics profile |publisher=[[Yahoo! Sports		
Artem Kopot	Artem Kopot	Chelyabinsk, Soviet Union	1991	1992	139th overall	1992	Pittsburgh Penguins						
Garrett Roe	Garrett Roe	, Virginia	2011	2025	183rd overall	2008	Los Angeles Kings		United States		American		
Oleg Kovalenko (ice hockey)	Oleg Yevgenievich Kovalenko	Ust'-Kamenogorsk, Kazakhstan	1990	2010	Undrafted				KAZ		url=http://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=59129 |title=Oleg Kovalenko Stats and Profile |website=hockeydb.com}}&lt;/ref&gt; He last played for [[Kazzinc Torpedo-2 Ust Kamenogorsk		
Andrei Savenkov	Andrey Vladimirovich Savenkov												
Yevgeni Pupkov	Yevgeni Borisovich Pupkov	, Oskemen	1992	2010					KAZ				
Andrei Ogorodnikov	Andrei Gennadevich Ogorodnikov										Kazakhstani		
Andrei Pchelyakov	Andrei Vladimirovich Pchelyakov	Ust-Kamenogorsk, Soviet Union	1991	2012					Kazakhstan				
Andrei Samokhvalov	Andrei Viktorovich Samokhvalov	, Oskemen	1990	2010	208th overall	1995	Detroit Red Wings		KAZ		Kazakhstan National Hockey Team		
Nick Boucher	Nick Boucher	, Alberta	2003	2012	280th overall	2000	Pittsburgh Penguins				Canadian		
Andrei Grankin	Andrei Grankin	Moscow, Russia	2006		Undrafted			Kontinental Hockey League		HC Amur Khabarovsk	Russian		
Rami Alanko	Rami Alanko	Helsinki, Finland	1995	2010			}}	SM-liiga	Finland		Finnish		
Martin Thelander	Martin Thelander	, Sweden	2000					HockeyAllsvenskan		BIK Karlskoga			
Fredrik Eriksson (ice hockey, born 1980)	Fredrik Eriksson	Kristinehamn, Sweden	1999				}}	Allsvenskan (hockey)		Bofors IK	Swedish		
Janne Grönvall	Janne Grönvall	Rauma, Finland, Finland	1989	2010	101 overall	1992	Toronto Maple Leafs	SM-liiga	FIN	Tappara			
Martin Lindman	Martin Lindman	Uppsala, Sweden	1991	2007									
Paul Healey	Paul Healey	Edmonton, Alberta, Canada	1995	2009	192nd overall	1993	Philadelphia Flyers				Canadian		
Peter Hammarström	Peter &quot;Humlan&quot; Hammarström	Stockholm, Sweden	1987	2006							Swedish		
Clas Eriksson	Clas Eriksson	Karlstad, Sweden	1990	2004							Swedish		
Greger Artursson	Greger Artursson	Västerås, Sweden, Sweden	1989	2010					Sweden		Swedish		
Dieter Kalt	Dieter Kalt Jr.	Klagenfurt, Austria	1990	2012					AUT				
Ulf Söderström	Ulf Söderström	Hofors, Sweden	1987	2009					SWE		Swedish		
Larry Trader	Lawrence Jerome Trader	, Barry's Bay	1983	1994	86th overall	1981	Detroit Red Wings						
Dylan DeMelo	Dylan DeMelo	London, Ontario, Canada	2012		179th overall	2011	San Jose Sharks	National Hockey League		Winnipeg Jets	Canadian		
Andy Andreoff	Andy Andreoff	Pickering, Ontario, Canada	2012		80th overall	2011	Los Angeles Kings	National League (ice hockey)		ZSC Lions	Canadian		
Jordan Weal	Jordan Weal	, North Vancouver (city)	2011		70th overall	2010	Los Angeles Kings	Kontinental Hockey League	CAN	HC Dynamo Moscow	Canadian		
Phil Lane (ice hockey)	Phil Lane	Rochester, New York, U.S.	2012	2020	52nd overall	2010	Phoenix Coyotes				American		
Jordan Martinook	Jordan Martinook	Brandon, Manitoba, Canada	2012		58th overall	2012	Arizona Coyotes	National Hockey League		Carolina Hurricanes	Canadian		
Zach Trotman	Zachary Ross Trotman	Carmel, Indiana, U.S.	2012	2021	210th overall	2010	Boston Bruins				American		
Sergei Voronov (ice hockey)	Sergei Voronov	, Russian Soviet Federative Socialist Republic	1992	2008	206th overall	1995	Pittsburgh Penguins	""			Russian		
Ernest Mottier	Edouard &quot;Ernest&quot; Mottier	Château-d'Œx, Switzerland	1918	1933					SUI				
Donald Unger	Donald Sebastian Unger	Montreux, Switzerland	1909	1924					SUI				
André Verdeil	André Cecil Verdeil	Manchester, United Kingdom of Great Britain and Ireland	1924	1924					SUI				
Bernhard Bagnoud	Bernhard Bagnoud	,	1956	1956					SUI				
Dominic Vicari	Dominic Vicari	, Michigan	2006	2007	Undrafted						American		
Sepp Weingärtner	Josef &quot;Sepp&quot; Weingärtner	,	1956	1956					SUI		Swiss		
Paul Hofer (ice hockey)	Paul Hofer	Basel, Switzerland	1951	1958					SUI				
Dwayne Gylywoychuk	Dwayne Gylywoychuk	Brandon, Manitoba, Canada	1994	2001	Undrafted				CAN		Canadian		
Jim Clarke (ice hockey)	Jim Clarke	Toronto, Canada	1974	1977	113th overall	1974	Vancouver Canucks				Canadian		
Franco Rossi (ice hockey)	Franco Rossi	Milan, Italy	1933	1948				Italian Hockey League - Serie A	ITA				
Meghann Treacy	Meghann Treacy	, New York	2012	2016				National Collegiate Athletic Association		Maine Black Bears women's ice hockey			f
Adam Gaudette	Adam Gaudette	, Massachusetts	2018		149th overall	2015	Vancouver Canucks	National Hockey League	USA	San Jose Sharks	American		
Liam Engström	Liam Engström	Surahammar, Sweden	2022		}}			HockeyEttan		Karlskrona HK	Swedish		
Carl Kendall	Carroll Dudley Kendall	, Quebec	1907	1932									
Alf Barbour	James Alfred Barbour	Souris, Manitoba, Canada	1908	1923									
Stan Marples	Stanley Gibson &quot;Stan&quot; Marples	Winnipeg, Canada	1912	1922									
Steve Vair	Stephen James Bertram Vair	Barrie, Canada	1903	1913									
Herb Stuart	Herbert Neville Stuart	Brantford, Canada	1919	1936									
Charlie Reid (ice hockey)	Charles George Reid	Calgary, Canada	1910	1932									
Red McCusker	Hugh Albert Harris &quot;Red&quot; McCusker	Regina, Saskatchewan, Canada	1911	1936									
Tommy Murray (ice hockey)	Thomas Robinson Murray	Buffalo, New York, New York	1913	1930									
John Chad	John Chad	, Alberta	1939	1953									
Eddie Kachur	Edward Charles &quot;Ed&quot; Kachur	, Ontario	1953	1972									
Red Mitchell (ice hockey)	William Lawson &quot;Bill, Red&quot; Mitchell	Toronto, Canada	1932	1948									
Joe Schaefer	Joseph Patrick Schaefer	Long Island, New York (state)	1955	1961									
Christian Hanson (ice hockey)	Christian David Hanson	Glens Falls, New York, U.S.	2009	2016	''Undrafted''				United States		American		
Jack Ahcan	Jack Anthony Ahcan	Savage, Minnesota, U.S	2020		Undrafted			National Hockey League		Colorado Avalanche	American		
Timur Faizutdinov	Timur Ramilevich Faizutdinov	Chelyabinsk, Russia	2017	2021									
Jason Cotton	Jason Cotton	Parker, Texas, USA	2020	2021	Undrafted						American		
Stu Burnie	Stuart Burnie	Orillia, Canada	1986	1991									
Denis Chalifoux	Denis Chalifoux	Laval, Quebec, Canada	1991	2008	12th round, 246th overall	1990	Hartford Whalers						
Ildar Isangulov	Ildar Ildusovich Isangulov	Ufa, Russia	2008	2018				Kontinental Hockey League	RUS	Salavat Yulaev Ufa	Russian		
Cleve Kinley	Cleve Kinley	Surrey, British Columbia, Canada	2000		Undrafted			GET-ligaen	Canada	Stavanger Oilers	Canadian		
Les Hunt	Leslie Hunt	Schreiber, Ontario, Canada	1957	1971				National Hockey League					
Takahito Suzuki	Takahito Suzuki	Tomakomai, Hokkaido, Japan	1996	2013					Japan				
Neil Petruic	Neil Petruic	, Saskatchewan	2005	2011	235th overall	2001	Ottawa Senators	American Hockey League			Canadian		
Travis Ramsey	Travis Ramsey	, California	2008		Undrafted			Elite.A		Ritten Sport	American		
Ben Gordon (ice hockey)	Ben Gordon	, Minnesota	2008	2014	Undrafted						American		
Robert Mayer (ice hockey)	Robert Mayer	Havířov, Czechoslovakia	2009		Undrafted			National League (ice hockey)	SUI	Genève-Servette HC	Czech		
Jacob Gaucher	Jacob Gaucher	Longueuil, Canada	2022		Undrafted			National Hockey League		Philadelphia Flyers	Canadian		
Sarah Knee	Sarah Donia Knee	Toronto, Canada	2011					Naisten Liiga (ice hockey)	HUN	KalPa Naiset	Hungarian		f
Kirill Savitski	Kirill Vladimirovich Savitski	Oskemen, Kazakhstan	2013		Undrafted			Kontinental Hockey League	KAZ	Barys Astana	Kazakhstani		
Renārs Krastenbergs	Renārs Krastenbergs	Jelgava, Latvia	2020		Undrafted			Czech Extraliga	LAT	HC Olomouc	Latvian		
Samuel Solem	Samuel Solem	Lørenskog, Norway	2018		Undrafted			Eliteserien (ice hockey)	NOR	Storhamar Ishockey	Norwegian		
Ole Julian Bjørgvik-Holm	Ole Julian Bjørgvik-Holm	Oslo, Norway	2020		145th overall	2020	Columbus Blue Jackets	American Hockey League	NOR	Cleveland Monsters	Norwegian		
Jonas Arntzen	Jonas Arntzen	Lillehammer, Norway	2015		Undrafted			Swedish Hockey League	NOR	Örebro HK	Norwegian		
Max Krogdahl	Max Krogdahl	Bærum, Norway	2016		Undrafted			Swedish Hockey League	NOR	Skellefteå AIK	Norwegian		
Emil Lilleberg	Emil Martinsen Lilleberg	Sarpsborg, Norway	2019		107th overall	2021	Arizona Coyotes	National Hockey League	NOR	Tampa Bay Lightning	Norwegian		
Kristýna Pátková	Kristýna &quot;Tynka&quot; Pátková	Meziboří, Czechia	2011					Swedish Women's Hockey League	CZE	Linköping HC (women)	Czech		f
Ryan Shea	Ryan Shea	Milton, Massachusetts, U.S.	2021		121st overall	2015	Chicago Blackhawks	National Hockey League	USA	Pittsburgh Penguins	American		
Matt Hellickson	Matthew Hellickson	Rogers, Minnesota, U.S.	2021	2023	214th overall	2017	New Jersey Devils		USA		American		
Nick Moutrey	Nick Moutrey	Toronto, Ontario, Canada	2015		105th overall	2013	Columbus Blue Jackets	Ligue Magnus		Ducs d'Angers	Canadian		
Kinga Jókai Szilágyi	Kinga Jókai Szilágyi	,	2011					Nationella Damhockeyligan	HUN	SKN Sabres St. Pölten	Hungarian		f
Britta Curl-Salemme	Britta Curl-Salemme	Bismarck, North Dakota, U.S.	2024					Professional Women's Hockey League	United States	Minnesota Frost	American		f
Lacey Eden	Lacey Eden	Annapolis, Maryland, Maryland	2020					Western Collegiate Hockey Association	United States	Wisconsin Badgers women's ice hockey	American		f
Caroline Harvey (ice hockey)	Caroline &quot;K.K.&quot; Harvey	Pelham, New Hampshire, U.S.	2021					Western Collegiate Hockey Association	USA	Wisconsin Badgers women's ice hockey	American		f
Mike Bukta	Mike Bukta	Calgary, Canada	1989	1991	Undrafted						Canadian		
Gord Stafford	Gord Stafford	, Alberta	1980	1987	Undrafted						Canadian		
Rinat Valiev	Rinat Valiev	Nizhnekamsk, Russia	2015		68th overall	2014	Toronto Maple Leafs	Pro Hokei Ligasy		HC Almaty	Russian		
Evgeny Svechnikov	Evgeny Igorevich Svechnikov	Yuzhno-Sakhalinsk, Russia	2013		19th overall	2015	Detroit Red Wings	Kontinental Hockey League		Amur Khabarovsk	Russian		
Evgeny Yaroslavlev	Evgeny Yaroslavlev	, Kurgan Oblast	2013					Vserosiyskoya  Hockey League		Zauralue Kurgan	Russian		
Inna Dyubanok	Inna Nikolayevna Dyubanok	, {{wrap	2007					ZhHL	RUS	Belye Medveditsy Chelyabinsk	Russian		f
Alyona Khomich	Alyona Andreyevna Khomich												f
Yekaterina Ananina	Yekaterina Igorevna Ananina	, {{wrap	2009					ZhHL	RUS	Torpedo Nizhny Novgorod (women)	Russian		f
Tatiana Burina	Tatiana Ivanovna Burina	Novosibirsk, Soviet Union	1995	2017					RUS		Russian		f
Yekaterina Lebedeva	Yekaterina Sergeyevna Lebedeva	, {{wrap	2007					Zhenskaya Hockey League	RUS	Belye Medveditsy	Russian		f
Olga Sosina	Olga Petrovna Sosina	Almetyevsk, Russia	2008					ZhHL	RUS	HC Agidel Ufa	Russian		f
Alexandra Vafina	Alexandra Aleksandrovna &quot;Sasha&quot; Vafina	Almaty, Kazakh Autonomous Socialist Soviet Republic	2008					ZhHL	RUS	Dinamo-Neva St. Petersburg	Russian		f
Nikita Mokin	Nikita Vladimirovich Mokin	Oskemen, Kazakhstan	2009	2016	Undrafted				KAZ				
Rob Dumas	Rob Dumas										Canadian		
Robert Oberrauch	Robert Oberrauch	Bolzano, Italy	1986	1998	Undrafted				ITA				
Larry Dyck	Larry Dyck	, Manitoba	1988	1998	Undrafted						Canadian		
Danil Faizullin	Danil Faizullin	Kazan, Russia	2010					Kontinental Hockey League		Free agent			
Mike McMahon Jr.	Michael William McMahon Jr.	Quebec City, Canada	1962	1977									
Nikolai Zherdev	Mykola Olehovych	Kyiv, Ukrainian Soviet Socialist Republic	2002	2025	4th overall	2003	Columbus Blue Jackets	Italian Hockey League	Russia	Alleghe Hockey	Ukrainian-Russian		
Eric Staal	Eric Craig Staal	Thunder Bay, Canada	2003	2023	2nd overall	2003	Carolina Hurricanes	National Hockey League	CAN		Canadian		
Bobby Holík	Robert Holík	Jihlava, Czechoslovakia	1987	2009	10th overall	1989	Hartford Whalers		Czechoslovakia		Czech-American		
Daymond Langkow	Daymond Randolph Langkow	Edmonton, Canada	1995	2013	5th overall	1995	Tampa Bay Lightning	National Hockey League	CAN		Canadian		
Luc Robitaille	Luc Jean-Marie Robitaille	Montreal, Canada	1986	2006	171st overall	1984	Los Angeles Kings		CAN				
Gary Suter	Gary Lee Suter	Madison, Wisconsin, U.S.	1985	2002	180th overall	1984	Calgary Flames		USA		American		
